id,degree,title,degreetitle,level
3105,BSc/BS,Computer Science,BSc/BS Computer Science,6
3106,BSc/BS,Computer Science,BSc/BS Computer Science,6
3107,BSc/BS,Computer Science,BSc/BS Computer Science,6
3108,BSc/BS,Physics,BSc/BS Physics,6
3109,BSc/BS,Computer Science,BSc/BS Computer Science,6
3110,BSc/BS,Computer Science,BSc/BS Computer Science,6
3111,BTech,Computer Science,BTech Computer Science,6
3112,BE/Beng,Computer Science,BE/Beng Computer Science,6
3112,MSc/MS,Informatics,MSc/MS Informatics,7
3113,PhD,Physics,PhD Physics,8
3114,BSc/BS,Computer Science,BSc/BS Computer Science,6
3115,BE/Beng,Computer Science and Engineering,BE/Beng Computer Science and Engineering,6
3116,MSc/MS,Computer Science,MSc/MS Computer Science,7
3117,BSc/BS,Electrical and Electronics Engineering,BSc/BS Electrical and Electronics Engineering,6
3117,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3118,MSc/MS,Computer Science,MSc/MS Computer Science,7
3119,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3120,BCA,/,BCA /,6
3120,MSc/MS,Computer Science,MSc/MS Computer Science,7
3121,BSc/BS,Information Technology,BSc/BS Information Technology,6
3122,BSc/BS,Electrical Engineering,BSc/BS Electrical Engineering,6
3123,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3124,BTech,Computer Science,BTech Computer Science,6
3125,MSc/MS,Computer Science,MSc/MS Computer Science,7
3126,BCA,/,BCA /,6
3126,MCA,/,MCA /,7
3127,BSc/BS,Computer Science,BSc/BS Computer Science,6
3127,MSc/MS,Computer Science,MSc/MS Computer Science,7
3128,BSc/BS,Computer Information Systems,BSc/BS Computer Information Systems,6
3129,MSc/MS,Computer Science,MSc/MS Computer Science,7
3130,BSc/BS,Computer Information Systems,BSc/BS Computer Information Systems,6
3131,BSc/BS,Computer Science,BSc/BS Computer Science,6
3132,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
3133,BSc/BS,Computer Science,BSc/BS Computer Science,6
3134,BSc/BS,Computer Science,BSc/BS Computer Science,6
3135,BSc/BS,Computer Science,BSc/BS Computer Science,6
3136,BSc/BS,Computer Science,BSc/BS Computer Science,6
3137,BSc/BS,Computer Science,BSc/BS Computer Science,6
3138,BSc/BS,Computer Science,BSc/BS Computer Science,6
3139,MCA,/,MCA /,7
3140,BCA,/,BCA /,6
3141,BE/Beng,Computer Science,BE/Beng Computer Science,6
3142,BSc/BS,Computer Science,BSc/BS Computer Science,6
3143,MSc/MS,Computer Science,MSc/MS Computer Science,7
3144,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
3145,BSc/BS,Computer Science,BSc/BS Computer Science,6
3146,BSc/BS,Computer Science,BSc/BS Computer Science,6
3147,BSc/BS,Computer Science,BSc/BS Computer Science,6
3148,MSc/MS,Computer Science,MSc/MS Computer Science,7
3149,MCA,/,MCA /,7
3150,BSc/BS,Computer Science and Engineering,BSc/BS Computer Science and Engineering,6
3151,BSc/BS,Electrical Engineering,BSc/BS Electrical Engineering,6
3152,MSc/MS,Computer Science,MSc/MS Computer Science,7
3152,BSc/BS,Computer Science,BSc/BS Computer Science,6
3153,BSc/BS,Computer Science,BSc/BS Computer Science,6
3154,BSc/BS,Computer Science,BSc/BS Computer Science,6
3155,MSc/MS,Computer Science,MSc/MS Computer Science,7
3156,BSc/BS,Computer Science,BSc/BS Computer Science,6
3157,MSc/MS,Computer Science,MSc/MS Computer Science,7
3158,MSc/MS,Computer Science,MSc/MS Computer Science,7
3158,PhD,Computer Science,PhD Computer Science,8
3159,MCA,/,MCA /,7
3160,BE/Beng,Computer Science and Engineering,BE/Beng Computer Science and Engineering,6
3161,MSc/MS,Computer Science,MSc/MS Computer Science,7
3162,BSc/BS,Computer Science,BSc/BS Computer Science,6
3163,BE/Beng,Computer Science,BE/Beng Computer Science,6
3164,BSc/BS,Computer Science,BSc/BS Computer Science,6
3165,BTech,Computer Science,BTech Computer Science,6
3166,MSc/MS,Computer Engineering,MSc/MS Computer Engineering,7
3167,BSc/BS,Computer Science,BSc/BS Computer Science,6
3168,BE/Beng,Information Technology,BE/Beng Information Technology,6
3169,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3170,BSc/BS,Computer Science,BSc/BS Computer Science,6
3171,BSc/BS,Computer Science,BSc/BS Computer Science,6
3172,MSc/MS,Computer Science,MSc/MS Computer Science,7
3173,MSc/MS,Computer Science,MSc/MS Computer Science,7
3174,BSc/BS,Computer Science,BSc/BS Computer Science,6
3175,BSc/BS,Information Technology,BSc/BS Information Technology,6
3176,MCA,/,MCA /,7
3177,BSc/BS,Civil Engineering,BSc/BS Civil Engineering,6
3178,BSc/BS,Computer Science,BSc/BS Computer Science,6
3179,MCA,/,MCA /,7
3179,BCA,/,BCA /,6
3180,BCA,/,BCA /,6
3180,MCA,/,MCA /,7
3181,BTech,Computer Science,BTech Computer Science,6
3182,BE/Beng,Computer Science,BE/Beng Computer Science,6
3183,BSc/BS,Computer Science,BSc/BS Computer Science,6
3184,BSc/BS,Computer Science,BSc/BS Computer Science,6
3185,MSc/MS,Computer Science,MSc/MS Computer Science,7
3186,BSc/BS,Computer Engineering,BSc/BS Computer Engineering,6
3187,BCA,/,BCA /,6
3187,MCA,/,MCA /,7
3188,BSc/BS,Computer Science,BSc/BS Computer Science,6
3189,BSc/BS,Computer Science,BSc/BS Computer Science,6
3190,BSc/BS,Software Engineering,BSc/BS Software Engineering,6
3191,BTech,Computer Science,BTech Computer Science,6
3192,BSc/BS,Computer Science,BSc/BS Computer Science,6
3193,BSc/BS,Computer Science,BSc/BS Computer Science,6
3194,BSc/BS,Computer Science,BSc/BS Computer Science,6
3195,BSc/BS,Information Systems,BSc/BS Information Systems,6
3196,MCA,/,MCA /,7
3197,BCA,/,BCA /,6
3198,BA,Economics,BA Economics,6
3199,BSc/BS,Computer Science,BSc/BS Computer Science,6
3200,BSc/BS,Computing,BSc/BS Computing,6
3201,BSc/BS,Mathematics,BSc/BS Mathematics,6
3202,BSc/BS,Computer Science,BSc/BS Computer Science,6
3203,BSc/BS,Computer Science,BSc/BS Computer Science,6
3204,BSc/BS,Computer Science,BSc/BS Computer Science,6
